ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,5.94,17.94,5.51,6.25,10.86,22.38,12.22,19.78
2014 Primary Runoff,4.74,6.63,4.38,3.12,6.02,19.65,8.36,15.34
2014 General,28.02,57.85,30.96,27.27,38.40,54.27,41.21,52.52
2016 Presidential Primary,17.66,39.64,25.62,13.51,30.39,45.45,31.59,41.73
2016 Primary,6.63,18.82,6.32,6.98,12.15,23.41,13.10,20.59
2016 Primary Runoff,2.34,4.19,2.84,4.65,4.92,14.39,5.75,10.87
2016 General,58.40,72.43,63.23,57.69,62.80,72.61,61.99,70.76
2018 Primary,5.18,25.94,6.94,9.09,11.50,21.74,14.30,20.91
2018 Primary Runoff,2.48,4.86,4.08,6.49,5.33,19.10,7.63,13.85
2018 General,46.02,70.86,51.95,41.12,57.61,66.84,54.48,65.25
