ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,10.00,12.46,5.88,0.00,14.29,15.73,5.67,14.01
2014 Primary Runoff,10.00,5.45,5.88,0.00,0.00,10.12,1.55,7.95
2014 General,20.00,43.25,23.53,0.00,30.00,50.42,29.47,46.57
2016 Presidential Primary,9.09,24.69,19.05,50.00,10.00,39.40,19.42,32.74
2016 Primary,9.09,32.77,13.64,50.00,0.00,33.72,14.23,32.20
2016 Primary Runoff,0.00,11.16,0.00,0.00,0.00,0.28,1.63,4.37
2016 General,36.36,60.86,41.67,50.00,41.67,73.77,47.88,67.43
2018 Primary,0.00,17.52,8.00,0.00,0.00,19.68,8.22,18.05
2018 Primary Runoff,8.33,5.84,8.00,0.00,0.00,19.22,3.96,13.39
2018 General,46.15,58.47,46.43,50.00,16.67,71.20,41.69,64.52
