ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,3.37,6.17,1.83,0.00,4.78,16.72,7.00,13.78
2014 Primary Runoff,3.72,1.89,1.58,0.00,3.45,13.44,4.81,10.49
2014 General,18.57,34.51,16.90,25.00,22.74,44.57,27.55,40.82
2016 Presidential Primary,12.50,20.66,19.19,16.67,21.35,40.06,23.52,34.73
2016 Primary,3.48,5.12,2.82,3.23,4.23,17.11,5.99,13.71
2016 Primary Runoff,0.63,0.53,1.12,0.00,2.64,12.00,3.61,9.02
2016 General,47.67,54.23,51.71,53.33,43.15,67.04,50.32,62.78
2018 Primary,7.56,10.34,5.48,4.94,8.84,20.72,9.88,17.45
2018 Primary Runoff,2.78,1.47,1.54,2.53,2.65,16.03,5.71,12.12
2018 General,35.75,48.37,37.88,25.49,40.67,58.09,38.93,53.91
