ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,4.23,13.62,3.66,10.26,6.16,19.05,5.50,15.75
2014 Primary Runoff,3.53,5.24,2.36,7.69,3.36,17.05,3.26,11.07
2014 General,22.37,44.02,21.47,37.21,22.47,47.73,21.51,44.14
2016 Presidential Primary,15.84,27.73,19.43,20.00,14.29,40.70,16.09,33.00
2016 Primary,5.85,12.32,3.80,9.52,4.49,18.12,4.95,14.42
2016 Primary Runoff,2.46,7.78,0.78,0.00,1.66,5.47,2.12,6.11
2016 General,51.40,60.40,51.67,58.62,45.06,67.89,43.69,62.51
2018 Primary,7.18,16.53,6.09,8.00,6.75,20.40,6.34,17.06
2018 Primary Runoff,3.15,3.80,2.44,9.46,1.13,19.87,3.08,10.92
2018 General,48.35,59.07,41.53,48.86,43.40,62.79,32.40,57.82
