ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,8.15,19.83,6.85,1.67,7.83,23.21,9.85,20.27
2014 Primary Runoff,1.77,2.95,0.96,0.00,1.41,10.62,1.98,6.22
2014 General,19.16,34.00,14.26,8.11,17.24,38.75,22.09,34.63
2016 Presidential Primary,13.01,22.06,14.33,9.64,13.56,32.37,16.51,25.79
2016 Primary,4.01,15.54,3.38,4.71,3.53,14.40,5.76,13.88
2016 Primary Runoff,0.06,0.03,0.32,1.18,0.12,2.55,0.25,1.14
2016 General,42.79,49.25,38.34,33.33,37.30,57.93,40.15,51.85
2018 Primary,6.35,18.47,6.38,2.60,6.32,21.79,7.67,18.42
2018 Primary Runoff,2.19,2.95,1.89,1.31,1.64,12.83,2.46,6.92
2018 General,37.77,48.47,32.78,30.11,34.84,53.58,31.02,48.51
