ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,0.00,18.01,0.00,0.00,12.50,20.20,17.65,18.70
2014 Primary Runoff,0.00,9.09,0.00,0.00,0.00,14.81,11.76,11.20
2014 General,100.0,42.54,0.00,0.00,28.57,54.32,32.26,46.44
2016 Presidential Primary,0.00,32.83,0.00,0.00,33.33,48.57,34.38,38.54
2016 Primary,0.00,58.86,40.00,0.00,16.67,66.74,43.33,61.11
2016 Primary Runoff,0.00,0.00,0.00,0.00,16.67,1.07,3.33,0.56
2016 General,100.0,67.76,40.00,0.00,57.14,79.21,56.67,71.72
2018 Primary,0.00,47.23,16.67,0.00,40.00,50.20,18.60,47.20
2018 Primary Runoff,100.0,58.24,16.67,0.00,40.00,61.48,31.71,58.39
2018 General,100.0,75.90,22.22,0.00,57.14,76.69,56.52,75.02
