ELECTION TYPE/YEAR,200A,200B,300,304,400,404,405,406,407,408,409,88888,TOTAL
2018 General,52.53,39.02,59.12,51.81,62.77,74.54,64.8,60.31,61.75,65.1,62.78,200.0,58.18
