ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,9.21,7.55,3.36,0.00,12.70,18.97,7.74,17.19
2014 Primary Runoff,5.26,2.77,2.59,0.00,9.52,13.65,4.92,12.11
2014 General,43.42,40.73,17.46,25.00,34.85,48.94,29.68,46.79
2016 Presidential Primary,24.05,26.77,19.29,20.00,27.03,42.83,24.75,39.96
2016 Primary,13.79,11.14,6.94,20.00,12.99,34.32,14.91,30.71
2016 Primary Runoff,11.49,3.50,4.86,20.00,6.49,29.16,11.15,25.48
2016 General,50.00,60.27,56.47,55.56,56.52,71.02,53.12,68.62
2018 Primary,5.41,14.49,5.24,0.00,10.98,22.54,8.22,20.21
2018 Primary Runoff,7.27,3.86,0.47,16.67,7.32,22.39,6.88,19.08
2018 General,42.74,57.78,45.91,33.33,52.22,66.39,35.46,62.20
