ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,3.33,26.43,4.92,0.00,20.00,34.10,23.14,30.64
2014 Primary Runoff,3.33,5.40,0.00,0.00,4.17,7.54,4.13,6.61
2014 General,3.12,52.75,20.63,0.00,41.67,44.76,31.50,46.34
2016 Presidential Primary,8.82,26.52,21.21,14.29,21.74,32.91,21.48,30.11
2016 Primary,5.71,26.24,7.46,0.00,20.83,31.95,18.06,29.06
2016 Primary Runoff,0.00,0.26,2.94,0.00,4.17,18.34,9.09,11.84
2016 General,37.50,60.96,45.95,57.14,42.86,60.03,42.77,59.30
2018 Primary,5.26,13.77,2.82,14.29,12.00,22.52,11.05,18.77
2018 Primary Runoff,0.00,4.76,2.82,0.00,4.00,11.91,3.31,8.99
2018 General,24.32,56.65,35.44,44.44,70.37,63.79,38.38,59.75
