ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,13.36,8.50,3.77,8.70,5.41,18.55,8.04,14.73
2014 Primary Runoff,6.48,3.92,1.89,4.35,2.96,12.35,4.86,9.38
2014 General,20.54,29.58,16.64,16.00,17.07,35.70,21.38,31.80
2016 Presidential Primary,14.64,18.34,11.48,10.71,12.53,30.05,18.49,25.53
2016 Primary,7.85,11.98,1.90,3.23,4.10,11.69,4.93,10.38
2016 Primary Runoff,0.00,0.10,0.00,0.00,0.24,0.13,0.06,0.11
2016 General,44.27,52.41,41.04,50.00,37.78,57.92,46.37,54.51
2018 Primary,14.42,14.92,5.24,2.00,7.61,17.56,7.33,14.65
2018 Primary Runoff,8.33,6.30,2.10,0.00,3.31,10.75,4.06,8.39
2018 General,37.69,51.29,31.05,44.44,33.57,52.13,31.38,46.91
