ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2014 Primary,18.41,21.38,0.00,20.05
2014 Primary Runoff,8.46,7.75,0.00,8.06
2014 General,47.54,55.51,0.00,51.94
2016 Presidential Primary,30.48,33.30,0.00,32.03
2016 Primary,31.87,38.69,0.00,35.64
2016 Primary Runoff,27.72,32.31,0.00,30.26
2016 General,57.07,67.57,25.00,62.83
2018 Primary,17.54,20.10,28.57,18.95
2018 Primary Runoff,13.28,12.62,14.29,12.92
2018 General,53.72,63.27,57.14,58.94
