ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,7.69,11.26,2.13,0.00,7.32,17.35,7.27,14.45
2014 Primary Runoff,3.85,3.87,4.26,0.00,4.88,13.06,4.74,9.08
2014 General,37.04,40.91,18.75,0.00,38.64,48.42,27.63,44.41
2016 Presidential Primary,20.83,26.40,10.71,0.00,27.91,39.37,20.05,33.26
2016 Primary,7.69,8.17,3.57,0.00,10.87,20.32,6.05,14.87
2016 Primary Runoff,7.69,0.11,0.00,0.00,2.17,10.98,3.30,6.41
2016 General,56.67,57.67,43.33,44.44,54.72,68.01,44.85,62.74
2018 Primary,7.69,14.58,3.39,9.09,11.54,19.90,7.76,17.02
2018 Primary Runoff,0.00,2.76,5.08,0.00,9.62,19.46,4.71,12.26
2018 General,44.83,56.68,43.28,42.86,60.00,64.01,37.23,59.37
