ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,6.06,8.44,0.41,0.00,3.92,20.80,5.23,17.06
2014 Primary Runoff,9.09,3.72,0.82,0.00,1.96,14.30,3.79,11.31
2014 General,24.24,35.74,6.61,0.00,21.15,46.14,21.49,41.95
2016 Presidential Primary,9.09,20.84,10.61,40.00,16.98,35.45,17.09,30.83
2016 Primary,26.47,18.17,2.90,20.00,9.09,34.60,11.92,29.24
2016 Primary Runoff,8.82,6.78,0.73,0.00,0.00,6.24,4.21,6.10
2016 General,58.33,52.10,36.09,60.00,40.30,68.40,44.20,62.91
2018 Primary,8.33,17.84,2.65,14.29,8.33,22.91,3.78,19.45
2018 Primary Runoff,5.56,3.74,1.67,14.29,3.39,16.94,2.19,12.53
2018 General,55.56,51.20,27.86,50.00,37.31,64.81,21.84,56.60
