ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,0.00,17.51,6.25,0.00,10.53,24.77,11.38,20.05
2014 Primary Runoff,8.33,5.27,0.00,0.00,10.53,12.46,6.06,8.06
2014 General,33.33,46.27,42.11,0.00,36.84,61.36,47.67,51.94
2016 Presidential Primary,7.14,21.99,50.00,100.0,28.57,47.83,28.74,32.03
2016 Primary,14.29,30.98,8.70,100.0,31.82,44.10,23.86,35.64
2016 Primary Runoff,28.57,24.55,17.39,100.0,22.73,40.07,19.89,30.26
2016 General,18.75,54.49,64.00,100.0,53.85,76.91,56.28,62.83
2018 Primary,0.00,17.26,11.11,25.00,7.69,23.74,6.57,18.95
2018 Primary Runoff,5.88,6.68,3.70,25.00,7.69,24.03,4.89,12.92
2018 General,22.22,52.94,44.44,60.00,47.06,72.57,32.79,58.94
