ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,7.14,22.65,0.00,25.00,7.69,34.04,16.52,29.76
2014 Primary Runoff,7.14,7.98,0.00,25.00,7.69,17.92,8.48,14.52
2014 General,14.29,42.22,14.29,25.00,16.67,51.12,40.17,47.77
2016 Presidential Primary,11.76,30.70,23.08,33.33,6.67,45.14,31.07,40.07
2016 Primary,16.67,33.35,0.00,0.00,12.50,37.53,20.42,35.26
2016 Primary Runoff,5.56,0.00,0.00,0.00,12.50,9.95,6.25,6.90
2016 General,52.63,63.62,47.06,71.43,50.00,73.30,61.44,69.76
2018 Primary,16.67,39.47,7.14,9.09,6.67,37.64,17.27,36.53
2018 Primary Runoff,5.56,8.01,7.14,0.00,0.00,22.94,6.25,17.60
2018 General,33.33,62.38,53.33,50.00,26.67,69.71,45.91,65.84
