ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,7.00,8.38,1.63,6.52,4.43,16.70,3.79,12.86
2014 Primary Runoff,5.22,2.88,1.24,4.35,3.43,13.82,2.46,9.20
2014 General,22.72,30.67,15.16,20.00,19.20,40.46,16.06,35.28
2016 Presidential Primary,19.00,19.39,15.43,23.81,17.17,35.59,17.40,28.29
2016 Primary,4.49,10.89,1.74,6.67,4.79,11.38,4.19,10.47
2016 Primary Runoff,0.18,1.99,0.34,6.25,0.94,0.84,0.35,1.20
2016 General,48.62,49.79,43.95,47.62,43.21,63.24,38.10,56.66
2018 Primary,5.83,9.15,3.81,6.45,6.18,15.42,4.12,12.25
2018 Primary Runoff,2.36,1.86,0.86,2.42,3.15,10.63,2.21,6.83
2018 General,35.63,43.94,30.42,28.85,37.52,54.74,27.31,48.76
