ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,3.45,9.73,0.00,16.67,14.81,22.73,9.21,21.64
2014 Primary Runoff,1.75,4.86,0.00,0.00,14.81,13.64,5.08,12.97
2014 General,20.63,28.65,11.93,0.00,40.74,43.05,21.47,41.49
2016 Presidential Primary,5.48,19.58,10.40,14.29,36.67,43.35,25.48,41.39
2016 Primary,5.26,11.86,5.04,14.29,21.88,33.52,13.12,31.53
2016 Primary Runoff,1.32,1.55,0.00,0.00,0.00,12.53,1.58,11.52
2016 General,34.94,47.18,47.77,37.50,60.00,70.02,51.37,68.06
2018 Primary,4.65,10.80,5.23,0.00,11.11,26.70,7.49,24.28
2018 Primary Runoff,2.33,1.90,5.23,0.00,13.33,21.98,7.36,19.97
2018 General,29.03,43.05,37.06,7.69,49.06,64.41,32.79,60.53
