ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,12.50,10.98,2.22,50.00,0.00,30.87,14.57,26.89
2014 Primary Runoff,6.25,2.97,2.22,50.00,0.00,22.79,9.49,19.06
2014 General,18.75,24.38,9.30,50.00,5.56,42.85,25.29,38.95
2016 Presidential Primary,12.50,8.34,18.00,33.33,0.00,36.58,20.30,31.34
2016 Primary,11.76,21.97,14.81,33.33,5.00,47.81,26.81,42.60
2016 Primary Runoff,11.76,7.30,3.70,33.33,5.00,37.01,19.27,31.47
2016 General,57.89,41.10,39.13,66.67,39.13,69.66,50.17,64.15
2018 Primary,5.88,8.49,1.43,20.00,5.26,17.83,6.97,15.58
2018 Primary Runoff,11.76,1.19,1.43,20.00,0.00,15.52,3.92,12.61
2018 General,52.94,38.91,27.50,20.00,39.13,66.15,33.25,59.68
