ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,8.40,11.79,5.49,0.00,2.86,16.72,7.08,15.27
2014 Primary Runoff,3.39,5.09,2.11,0.00,1.45,12.32,5.73,10.68
2014 General,25.00,46.21,24.28,50.00,23.08,48.39,33.37,46.82
2016 Presidential Primary,19.26,32.23,25.56,50.00,20.27,40.08,28.96,37.90
2016 Primary,5.71,13.26,6.50,0.00,5.26,17.43,7.69,16.00
2016 Primary Runoff,1.43,0.51,2.17,0.00,0.00,9.70,2.98,7.75
2016 General,59.74,63.70,55.38,85.71,49.70,70.35,60.17,68.41
2018 Primary,10.32,23.03,11.48,5.88,12.42,23.68,11.68,22.48
2018 Primary Runoff,2.58,3.88,3.93,11.76,6.21,13.94,4.90,11.62
2018 General,50.61,64.62,46.90,41.67,48.11,66.88,48.12,64.75
