ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,2.08,7.03,2.19,3.10,5.43,17.54,6.08,11.81
2014 Primary Runoff,1.53,1.91,1.39,2.50,3.48,15.39,4.29,9.11
2014 General,19.09,42.93,23.35,22.53,31.60,51.52,28.05,43.13
2016 Presidential Primary,11.18,25.75,19.61,15.02,22.09,42.17,20.09,31.87
2016 Primary,1.31,4.83,2.25,2.35,3.22,9.64,3.19,6.58
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00
2016 General,49.53,61.48,57.40,53.79,56.72,69.63,49.78,62.86
2018 Primary,7.33,15.28,6.92,6.89,10.42,18.11,8.74,14.42
2018 Primary Runoff,5.14,5.89,2.50,4.25,5.57,17.57,5.62,10.65
2018 General,39.62,58.38,45.03,42.68,51.06,62.58,42.53,55.66
