ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,0.00,21.52,0.00,0.00,12.50,17.90,11.43,19.76
2014 Primary Runoff,0.00,8.77,0.00,0.00,12.50,12.66,5.71,10.33
2014 General,33.33,45.47,0.00,0.00,44.44,62.18,32.93,52.16
2016 Presidential Primary,0.00,28.26,0.00,0.00,12.50,40.07,18.52,32.83
2016 Primary,0.00,42.26,0.00,0.00,25.00,55.03,31.71,47.13
2016 Primary Runoff,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.02
2016 General,30.00,59.89,42.86,50.00,75.00,73.16,50.59,65.01
2018 Primary,25.00,33.04,0.00,50.00,33.33,29.17,13.49,30.84
2018 Primary Runoff,0.00,23.94,0.00,0.00,11.11,29.46,10.40,25.66
2018 General,37.50,59.98,33.33,60.00,54.55,73.31,38.13,64.54
