ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,17.65,9.50,0.00,0.00,11.54,20.84,9.83,17.24
2014 Primary Runoff,17.65,4.64,0.00,0.00,7.69,13.31,4.35,10.54
2014 General,50.00,31.02,0.00,0.00,15.38,39.24,25.09,35.95
2016 Presidential Primary,28.57,17.67,0.00,0.00,24.00,31.73,21.15,27.50
2016 Primary,39.13,23.35,6.67,0.00,25.93,34.20,18.12,30.22
2016 Primary Runoff,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.02
2016 General,65.38,57.32,38.89,33.33,60.00,67.93,53.26,64.19
2018 Primary,12.50,21.36,4.55,0.00,18.18,14.94,6.62,15.05
2018 Primary Runoff,9.38,3.15,0.00,0.00,0.00,11.33,2.93,8.53
2018 General,45.45,47.21,25.00,33.33,35.71,54.86,33.62,50.20
