ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,0.00,12.51,0.00,0.00,7.69,18.02,6.29,15.72
2014 Primary Runoff,0.00,4.57,2.27,0.00,0.00,7.37,2.10,6.25
2014 General,23.53,43.14,14.71,50.00,33.33,50.09,29.10,47.04
2016 Presidential Primary,5.26,20.49,13.95,0.00,25.00,34.31,20.95,29.10
2016 Primary,0.00,16.00,7.14,0.00,25.00,25.27,9.40,21.57
2016 Primary Runoff,0.00,18.80,2.38,0.00,16.67,10.97,9.52,13.46
2016 General,35.00,54.69,29.55,50.00,53.85,68.24,41.72,62.63
2018 Primary,5.00,16.35,4.17,0.00,20.00,19.28,3.65,17.62
2018 Primary Runoff,0.00,2.45,0.00,33.33,6.67,25.13,2.80,16.76
2018 General,35.00,55.00,31.03,80.00,41.18,67.67,30.71,61.61
