ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,15.00,10.42,10.91,33.33,2.50,19.38,5.82,17.19
2014 Primary Runoff,15.00,3.58,5.45,33.33,0.00,15.71,4.12,13.16
2014 General,45.00,42.95,23.73,66.67,30.77,50.07,28.30,47.56
2016 Presidential Primary,31.58,29.61,23.44,40.00,34.88,46.44,25.14,42.43
2016 Primary,15.00,13.64,7.69,33.33,11.90,38.59,14.47,33.11
2016 Primary Runoff,15.00,0.85,6.15,33.33,4.76,30.96,11.17,25.07
2016 General,50.00,63.68,51.28,85.71,58.33,75.78,55.03,72.41
2018 Primary,8.70,15.81,4.00,20.00,13.04,24.19,8.56,21.38
2018 Primary Runoff,13.04,3.52,2.97,20.00,6.38,22.81,6.77,18.46
2018 General,44.44,58.61,39.81,76.92,56.86,70.74,39.58,65.88
