ELECTION TYPE/YEAR,02,03,05,06,07,08,09,10,11,12,13,14,16,17,19,20,21,88888,99999,TOTAL
2018 General,40.56,66.33,45.33,41.48,66.36,65.39,56.56,61.66,64.68,58.05,56.09,48.42,50.07,48.76,61.33,60.35,67.57,105.0,5.95,56.13
