ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,2.22,11.54,3.13,25.00,7.89,24.21,11.99,21.92
2014 Primary Runoff,2.27,8.39,2.03,25.00,5.26,17.43,7.20,15.75
2014 General,19.15,35.49,9.59,33.33,21.25,40.15,28.27,38.60
2016 Presidential Primary,14.58,23.26,14.91,14.29,13.79,37.15,22.14,34.40
2016 Primary,2.27,8.31,3.49,12.50,7.45,25.74,11.45,22.58
2016 Primary Runoff,0.00,0.98,0.00,0.00,2.13,7.13,2.52,6.06
2016 General,54.00,52.65,45.85,25.00,48.11,66.02,51.69,63.28
2018 Primary,5.17,14.91,4.36,0.00,10.09,16.84,4.70,15.51
2018 Primary Runoff,1.75,1.65,0.87,0.00,4.59,14.34,4.87,11.97
2018 General,37.50,53.67,36.34,23.08,47.20,60.53,35.09,57.46
