ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,8.54,24.78,6.24,6.67,10.96,25.65,11.96,23.51
2014 Primary Runoff,3.39,15.01,2.40,3.33,5.21,13.95,5.95,13.52
2014 General,21.91,39.34,18.50,18.57,21.54,43.63,23.21,38.82
2016 Presidential Primary,15.29,25.10,15.42,23.53,14.65,35.02,16.29,27.40
2016 Primary,5.91,21.36,3.76,9.21,8.52,21.69,8.99,19.74
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.01
2016 General,46.15,57.45,42.91,40.19,44.89,59.27,41.16,55.90
2018 Primary,8.22,23.75,6.90,8.77,11.03,28.03,8.88,22.59
2018 Primary Runoff,3.16,2.91,1.87,4.31,2.39,14.93,2.21,6.72
2018 General,38.36,55.65,35.92,35.85,41.79,55.92,30.68,51.90
