ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,0.00,13.29,6.25,0.00,0.00,24.49,3.45,20.73
2014 Primary Runoff,0.00,3.69,0.00,0.00,0.00,12.24,3.45,9.46
2014 General,25.00,34.60,6.25,50.00,37.50,47.56,33.33,43.18
2016 Presidential Primary,28.57,22.41,11.76,50.00,10.00,37.22,17.95,32.29
2016 Primary,22.22,19.80,13.16,50.00,10.00,47.66,15.79,38.53
2016 Primary Runoff,0.00,3.20,5.13,50.00,10.00,41.94,13.16,29.52
2016 General,63.64,54.43,45.24,40.00,54.55,69.54,47.83,64.53
2018 Primary,0.00,14.98,8.57,0.00,0.00,28.12,4.71,23.51
2018 Primary Runoff,0.00,5.49,5.71,0.00,0.00,21.40,3.61,16.18
2018 General,25.00,52.66,23.81,0.00,41.67,68.51,35.64,62.54
