AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,0.00,0.00,0.00,0.00,3.57,3.33,3.34
25-29,0.00,0.00,0.00,0.00,0.00,5.63,0.00,5.43
30-34,0.00,0.00,0.00,0.00,0.00,3.78,0.00,3.68
35-39,0.00,0.00,0.00,0.00,0.00,11.05,10.00,10.82
40-44,0.00,0.00,0.00,0.00,0.00,11.79,25.00,11.97
45-49,0.00,0.00,0.00,0.00,0.00,12.02,0.00,11.68
50-54,0.00,0.00,0.00,0.00,100.0,12.79,20.00,12.94
55-59,0.00,0.00,0.00,0.00,0.00,17.06,0.00,16.71
60-64,0.00,0.00,0.00,0.00,0.00,23.63,26.32,23.61
65-OVER,50.00,0.00,0.00,0.00,33.33,32.05,37.21,32.08
TOTAL,14.29,0.00,0.00,0.00,20.00,20.24,17.31,20.01
