AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,1.49,0.00,0.00,0.00,9.29,4.50,5.56
25-29,0.00,2.36,0.00,0.00,14.29,8.11,4.65,5.76
30-34,16.67,5.31,0.00,0.00,0.00,9.36,8.11,7.78
35-39,0.00,5.52,0.00,0.00,0.00,12.96,4.55,9.69
40-44,33.33,9.93,0.00,0.00,0.00,12.74,14.29,11.88
45-49,33.33,9.60,0.00,0.00,50.00,18.89,13.33,15.22
50-54,100.0,17.37,0.00,0.00,16.67,23.21,6.67,20.89
55-59,0.00,21.66,0.00,0.00,0.00,28.92,0.00,25.75
60-64,0.00,27.12,0.00,100.0,0.00,33.62,10.00,31.16
65-OVER,0.00,29.91,20.00,0.00,0.00,37.90,15.38,35.44
TOTAL,16.00,13.67,1.59,16.67,7.14,23.36,7.98,19.51
