AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,1.79,1.75,1.35,0.00,0.00,3.96,1.97,3.16
25-29,0.00,1.67,0.00,0.00,3.28,2.27,1.93,2.06
30-34,3.17,1.90,0.00,0.00,0.00,4.56,2.40,3.72
35-39,5.56,3.48,1.40,0.00,3.33,5.70,3.12,4.98
40-44,2.22,5.22,3.30,0.00,1.72,7.71,4.33,6.83
45-49,4.23,6.67,4.57,50.00,5.45,10.30,8.03,9.41
50-54,5.17,9.83,4.44,0.00,2.63,13.33,9.25,12.21
55-59,2.04,12.95,7.29,0.00,4.76,18.13,10.95,16.49
60-64,24.14,15.44,11.11,0.00,6.67,23.97,14.73,21.83
65-OVER,10.00,23.37,7.46,0.00,24.32,34.80,20.64,32.32
TOTAL,4.79,8.32,3.57,7.69,3.96,14.69,6.99,12.69
