AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,14.29,0.83,0.00,0.00,8.82,3.78,3.20,3.64
25-29,9.09,0.00,0.00,0.00,0.00,3.40,1.38,3.11
30-34,0.00,0.96,5.26,0.00,0.00,5.13,5.61,4.98
35-39,0.00,4.72,11.76,0.00,4.55,7.13,5.47,6.91
40-44,0.00,3.52,0.00,0.00,0.00,9.90,5.41,9.21
45-49,0.00,1.77,0.00,0.00,10.00,10.80,9.42,10.34
50-54,0.00,4.65,0.00,0.00,7.14,14.98,13.00,14.38
55-59,16.67,3.03,20.00,0.00,0.00,19.43,12.23,18.37
60-64,20.00,13.64,20.00,0.00,0.00,22.13,14.94,21.36
65-OVER,23.08,9.09,6.67,33.33,0.00,26.35,21.25,25.54
TOTAL,9.46,4.69,4.93,12.50,4.11,14.68,9.50,13.90
