AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,1.28,0.00,0.00,0.00,3.49,0.00,2.18
25-29,10.00,1.03,0.00,0.00,0.00,3.35,0.00,2.28
30-34,25.00,0.98,0.00,0.00,0.00,4.23,4.05,3.29
35-39,0.00,4.02,2.56,0.00,0.00,5.54,1.25,4.44
40-44,0.00,0.71,11.11,100.0,0.00,5.64,5.77,4.68
45-49,0.00,2.89,0.00,0.00,0.00,10.33,4.00,7.21
50-54,0.00,8.99,0.00,0.00,0.00,14.81,7.14,12.07
55-59,0.00,6.83,0.00,0.00,20.00,18.06,10.81,13.68
60-64,0.00,16.82,0.00,0.00,0.00,21.04,8.33,19.10
65-OVER,0.00,16.46,0.00,0.00,0.00,27.49,10.00,24.04
TOTAL,3.08,5.34,0.77,11.11,1.72,11.70,3.64,8.93
