AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,2.67,2.51,0.31,16.67,2.63,3.51,2.53,2.82
25-29,0.00,2.90,0.94,0.00,1.25,3.29,2.21,2.89
30-34,0.00,5.40,2.44,0.00,5.00,6.67,3.31,5.56
35-39,2.90,8.86,1.09,0.00,6.54,7.89,4.92,7.90
40-44,12.00,10.28,3.81,0.00,7.69,11.15,5.96,10.09
45-49,5.77,13.40,4.17,0.00,11.00,13.86,7.94,12.96
50-54,1.56,15.19,7.80,0.00,8.14,17.74,8.76,15.75
55-59,0.00,18.63,7.14,0.00,5.71,22.32,9.90,19.89
60-64,7.84,24.43,6.78,0.00,15.00,28.81,13.07,26.26
65-OVER,4.84,27.55,4.13,0.00,22.34,37.01,21.32,33.83
TOTAL,3.88,11.38,3.06,3.70,7.80,18.66,6.99,14.33
