AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,11.18,0.73,100.0,3.57,9.21,4.62,9.20
25-29,0.00,9.70,4.17,0.00,0.00,7.80,5.71,8.18
30-34,0.00,10.83,4.35,0.00,11.11,11.60,16.67,11.21
35-39,0.00,15.44,2.17,0.00,0.00,14.91,3.70,14.41
40-44,25.00,19.60,2.78,0.00,0.00,16.98,4.00,17.28
45-49,18.18,25.18,0.00,33.33,14.29,17.82,7.14,19.55
50-54,11.11,27.79,4.00,0.00,20.00,23.16,38.46,24.26
55-59,10.00,27.76,0.00,0.00,0.00,25.34,10.00,25.49
60-64,0.00,42.31,0.00,0.00,20.00,32.60,26.67,34.55
65-OVER,36.36,38.79,16.67,0.00,0.00,33.65,18.52,34.38
TOTAL,11.34,22.33,2.67,13.33,5.94,21.22,10.70,20.90
