AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,4.76,0.00,0.00,8.70,5.82,1.68,5.32
25-29,0.00,4.60,0.00,0.00,0.00,7.85,10.11,7.61
30-34,25.00,8.45,0.00,0.00,0.00,10.97,9.59,10.53
35-39,0.00,5.00,0.00,0.00,0.00,13.21,3.70,12.02
40-44,0.00,19.35,0.00,0.00,0.00,16.17,16.18,16.22
45-49,0.00,19.79,0.00,0.00,0.00,18.24,11.48,17.87
50-54,0.00,25.49,0.00,0.00,25.00,21.25,15.25,21.19
55-59,0.00,25.64,0.00,0.00,25.00,29.48,10.00,28.20
60-64,0.00,29.59,33.33,0.00,0.00,36.82,25.64,35.61
65-OVER,0.00,31.49,0.00,0.00,33.33,35.97,24.29,35.22
TOTAL,3.03,19.90,2.82,0.00,10.00,22.44,11.58,21.45
