COUNTY NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
FORSYTH,109259.0,169.0,11912.0,11735.0,8.0,771.0,721.0,2.0,89.0,78.0,3.0,1840.0,1592.0,24.0,4014.0,3836.0,113.0,35985.0,32671.0,9.0,2051.0,1636.0
GWINNETT,396247.0,825.0,22580.0,22054.0,67.0,5767.0,4654.0,2.0,392.0,366.0,116.0,18248.0,15277.0,143.0,17917.0,17369.0,248.0,89723.0,82391.0,254.0,55769.0,42085.0
TOTAL,505506.0,994.0,34492.0,33789.0,75.0,6538.0,5375.0,4.0,481.0,444.0,119.0,20088.0,16869.0,167.0,21931.0,21205.0,361.0,125708.0,115062.0,263.0,57820.0,43721.0
