COUNTY NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
BAKER,53,0,43.18,24.49,0,42.86,66.67,0,0,0,0,16.67,33.33,0,0,66.67,0,57.02,61.9,0,53.03,41.67
BIBB,54.14,19.05,31.8,24.47,0,41.36,33.58,0,33.33,33.33,0,40.48,32.24,0,40.22,33.73,37.5,61.45,61.32,23.53,60.27,45.48
CALHOUN,60.54,0,28.81,25.4,0,50,0,0,0,0,0,44.44,44.44,0,27.27,66.67,0,69.81,72.64,50,62.05,49.02
CHATTAHOOCHEE,26.62,100,11.21,10.46,0,18.18,11.76,0,20,0,0,9.26,7.07,0,5.13,12.12,0,29.57,29.27,0,38.79,30.37
CLAY,61.32,0,50,20.51,0,50,50,0,0,0,0,100,100,0,66.67,33.33,0,69.78,73.15,0,59.01,50.96
CRAWFORD,61.36,25,36.36,30.31,0,27.27,38.89,0,50,37.5,0,26.47,25,0,46.15,25,0,63.45,64.52,100,70.95,53.09
CRISP,56.53,0,32.2,26.16,0,39.13,16.67,0,50,20,0,44.68,39.39,0,23.68,12.82,0,67.4,68.56,25,49.42,38.20
DECATUR,55.41,63.64,41.64,30.94,0,33.33,42.86,0,44.44,60,0,33.61,26.53,0,30.3,23.81,57.14,61.2,61.95,33.33,54.78,42.07
DOOLY,63.37,100,44.33,33.03,0,50,36.36,0,50,0,0,20,27.5,0,41.67,6.67,0,72.78,73.17,0,63.88,48.86
DOUGHERTY,48,11.19,27.82,18.75,14.29,32.73,25.42,0,17.24,20,25,30.86,24.53,0,31.65,30.22,15.38,57.97,57.74,13.32,53.12,40.28
EARLY,55.47,0,32,29.73,0,30,37.5,0,50,0,0,31.25,22.22,0,33.33,0,0,65.17,66.81,33.33,52.46,39.09
GRADY,56.83,50,37.53,31.5,0,36.36,30.3,0,55.56,25,0,25,17.14,0,32,24.14,33.33,61.59,63.87,60,55.79,43.94
LEE,58.96,33.33,37.11,30.27,0,52.38,35.44,0,41.67,50,0,39.42,32.41,100,40.28,37.4,50,62.09,62.22,8.33,64.54,54.38
MACON,60.88,50,40.54,27.52,0,38.46,37.5,0,0,0,0,15,5.88,0,44.44,31.43,0,66.04,69.74,0,64.61,53.40
MARION,59.8,100,45.35,32.73,0,75,66.67,0,33.33,66.67,0,28.95,41.46,0,28.57,18.75,0,61.72,66.17,0,64.58,46.89
MILLER,56.59,0,37.04,30.91,0,100,20,0,66.67,0,0,13.33,0,0,33.33,0,0,62.94,64.62,0,48.39,29.82
MITCHELL,56.07,0,32.69,19.83,0,37.5,22.73,0,37.5,50,0,29.31,34.92,0,33.33,38.89,80,64.43,65.76,25,57.38,42.56
MUSCOGEE,46.71,25.93,34.1,25.39,60,35.09,30.73,50,24.62,26.09,75,32.52,26.98,50,38.62,34.52,33.33,49.79,50.37,20,53.2,41.58
PEACH,57.74,16.67,41.56,30.12,0,47.46,37.25,0,40,58.33,0,43.75,31.79,0,53.06,37.5,100,65.11,65.14,50,58.89,47.49
QUITMAN,58,0,40.74,33.33,0,0,50,0,0,50,0,50,66.67,0,66.67,66.67,0,62.91,62.53,0,56.66,53.85
RANDOLPH,64.54,0,53.73,23.61,0,66.67,0,0,75,0,0,0,50,0,50,25,0,72.18,74.55,0,65.18,52.33
SCHLEY,69.58,0,50,33.33,0,66.67,60,0,0,0,0,47.06,38.46,0,38.46,0,100,73.06,75.15,0,63.64,51.60
SEMINOLE,55.79,0,32.74,29.36,0,36.36,25,0,0,0,0,27.59,47.62,0,25,20,100,61.05,61.31,0,54.07,41.80
STEWART,57.71,0,52.94,33.33,100,33.33,20,0,0,0,0,22.22,50,0,16.67,33.33,0,65.85,62.5,100,62.02,45.85
SUMTER,59.92,0,38.97,32.01,0,44.9,50,0,66.67,33.33,0,26.5,34.09,0,35.19,54,100,69.44,69.79,20,58.07,46.75
TALBOT,64.34,0,55.95,40,0,66.67,50,0,75,100,0,45.45,33.33,0,75,33.33,0,66.38,67.89,0,69.15,56.86
TAYLOR,64.57,0,51.39,33.91,0,16.67,16.67,0,0,100,0,45,50,0,50,40,0,70.07,72.52,0,65.03,49.38
TERRELL,58.94,100,36.96,27.78,0,40,52.63,0,66.67,50,0,35.29,60,0,28.57,18.18,0,71.73,73.44,40,61.03,42.08
TOTAL,53.39,19.73,33.97,25.16,27.78,37.54,32.12,50.0,32.91,33.85,50.0,32.9,27.98,37.5,37.22,32.68,39.09,60.78,61.67,16.31,56.6,43.74
