COUNTY NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
ATKINSON,56.2,50,23.91,22.35,0,25,50,0,40,100,0,35.06,27.83,0,0,100,100,61.05,60.85,0,57.31,49.34
BEN HILL,56.71,100,33.54,29.41,0,59.09,55.56,0,40,66.67,0,22.78,20.34,0,37.5,15,66.67,61.33,63.95,0,56.61,41.75
BERRIEN,56.74,100,40.28,28.46,100,34.62,34.62,0,14.29,54.55,0,39.24,17.46,0,25,26.32,50,58.69,60.61,0,55.07,39.19
BIBB,62.82,52.94,42.01,38.31,0,48.22,46.2,0,40.74,35,100,43.88,40,33.33,47.63,38.22,27.27,67.77,67.27,37.5,64.95,51.53
BLECKLEY,66.86,50,34.67,39.6,100,60,23.08,0,33.33,0,0,46.15,55.56,0,60.87,32,50,72.52,73.51,0,58.93,42.32
BROOKS,54.47,0,45.74,40.25,0,46.15,50,0,25,60,0,39.02,31.25,0,36.36,45.45,50,60.23,60.35,0,54.74,39.62
COLQUITT,54.91,27.78,33.33,25.78,0,46.84,38,0,38.46,23.08,0,26.11,19.95,0,36,32,57.14,63.54,65.01,33.33,46.02,33.98
COOK,57.79,0,40.43,34.62,0,37.93,32.14,0,50,25,0,37.04,20.29,0,20.83,32,100,61.77,63.47,0,55.93,43.52
DODGE,63.87,0,40.55,32.79,0,47.06,35.71,0,0,100,0,45.16,33.33,0,42.11,23.08,100,67.79,70.89,100,58.93,48.44
HOUSTON,57.81,29.11,37.72,34.37,20,44.73,47.8,66.67,37.5,49.15,66.67,40.63,41.22,20,44.63,39.64,40.91,60.59,62.89,32.86,63.03,53.81
IRWIN,63.36,100,50,26.44,0,57.14,75,0,100,0,0,33.33,23.33,0,37.5,22.22,100,67.52,68.26,0,60.43,45.57
JONES,64.98,12.5,27.43,19.83,100,60.61,32.14,0,58.33,69.23,0,51.56,41.51,0,56.86,44.44,28.57,66.8,66.82,0,71.08,60.44
LANIER,47.45,0,40.76,30.69,0,30.43,29.41,0,33.33,20,0,26.56,29.73,0,25,30.77,50,47.35,51.92,0,53.52,40.59
LOWNDES,49.01,25,28.58,27.31,0,41.38,33.99,0,30.56,29.17,0,33.46,27.96,0,37.81,33.23,37.5,54.69,55.65,0,49.19,36.36
MONROE,66.43,45,51.74,44.99,0,45,53.23,0,66.67,45.45,0,42.31,36.36,0,38.98,43.18,62.5,69.81,69.77,44.44,68.84,55.23
PULASKI,63.33,0,42.45,26.67,0,46.15,50,0,50,100,0,59.09,30.43,0,21.43,38.46,0,68.56,69.52,0,61.42,45.88
TELFAIR,61.77,0,42.86,21.38,0,50,28.57,0,50,100,0,58.33,12.5,0,40,30,0,66.41,69.23,100,60.35,48.29
THOMAS,57.37,55.56,40.58,35.8,0,46.59,37.5,0,25,63.64,0,31.39,21,0,43.06,37.97,47.06,62.1,63.93,12.5,58.68,43.30
TIFT,57.34,40,39.45,36.32,0,43.84,42.37,0,28.57,12.5,50,34.2,30.71,0,30.53,37.5,46.67,65.26,65.56,28.57,50.51,36.86
TURNER,59.63,0,49.35,29.41,0,25,62.5,0,0,50,0,33.33,29.63,0,9.09,11.11,50,67.78,66.44,100,57.82,43.25
TWIGGS,61.91,0,44.52,34.39,0,47.37,33.33,0,0,50,0,28,35.71,0,40,75,0,62.61,65.57,0,70.85,55.09
WILCOX,62.59,0,32.56,38.6,0,42.86,40,0,0,0,0,30.43,15.79,0,33.33,16.67,100,68.3,68.76,0,59.15,43.78
WILKINSON,68.12,0,35.71,33.58,0,55.56,41.67,0,0,0,0,11.11,66.67,0,28.57,25,0,71.72,71.61,50,73,58.94
TOTAL,57.78,34.65,37.74,32.87,44.44,44.08,41.52,66.67,35.92,41.54,50.0,36.19,31.38,22.22,42.18,37.08,46.25,62.52,63.8,30.08,58.35,45.9
