-,MALE,FEMALE,UNKNOWN
UNKNOWN,28.99,39.1,0.0
OTHER,14.29,42.86,0.0
NATIVE-AM,75.0,33.33,0.0
HISP-LT,57.14,50.0,0.0
ASIA-PI,0.0,33.33,0.0
WHITE,57.56,58.81,50.0
BLACK,50.0,62.82,0.0
