-,MALE,FEMALE,UNKNOWN
UNKNOWN,27.27,44.44,0.0
OTHER,0.0,100.0,0.0
NATIVE-AM,0.0,0.0,0.0
HISP-LT,0.0,0.0,0.0
ASIA-PI,100.0,0.0,0.0
WHITE,68.49,72.44,100.0
BLACK,28.12,50.0,0.0
