AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,1604.0,1.0,99.0,112.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,12.0,14.0,0.0,3.0,6.0,0.0,635.0,570.0,0.0,74.0,70.0
30-34,1479.0,0.0,77.0,83.0,0.0,11.0,2.0,0.0,1.0,1.0,0.0,15.0,6.0,0.0,8.0,4.0,2.0,618.0,511.0,0.0,76.0,64.0
35-39,1431.0,2.0,82.0,98.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,11.0,4.0,0.0,3.0,5.0,0.0,593.0,483.0,0.0,73.0,68.0
40-44,1381.0,0.0,60.0,58.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,7.0,2.0,0.0,610.0,499.0,0.0,78.0,49.0
45-49,1662.0,0.0,75.0,95.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,8.0,2.0,0.0,9.0,6.0,0.0,705.0,641.0,0.0,57.0,59.0
50-54,1658.0,0.0,64.0,64.0,0.0,2.0,5.0,0.0,3.0,1.0,0.0,7.0,5.0,0.0,4.0,6.0,1.0,695.0,671.0,0.0,78.0,52.0
55-59,1741.0,1.0,72.0,67.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,9.0,3.0,0.0,3.0,6.0,0.0,768.0,667.0,0.0,77.0,61.0
60-64,1653.0,0.0,60.0,58.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,7.0,0.0,2.0,716.0,671.0,0.0,69.0,57.0
65-OVER,4104.0,2.0,115.0,136.0,0.0,3.0,6.0,0.0,0.0,3.0,0.0,4.0,5.0,0.0,13.0,8.0,0.0,1849.0,1659.0,0.0,176.0,125.0
TOTAL,16713.0,6.0,704.0,771.0,0.0,33.0,29.0,0.0,6.0,7.0,0.0,76.0,52.0,0.0,57.0,43.0,5.0,7189.0,6372.0,0.0,758.0,605.0
