-,MALE,FEMALE,UNKNOWN
UNKNOWN,15.18,27.64,0.0
OTHER,28.57,36.36,0.0
NATIVE-AM,50.0,33.33,0.0
HISP-LT,50.0,41.18,0.0
ASIA-PI,33.33,0.0,0.0
WHITE,51.82,54.94,0.0
BLACK,44.67,56.45,0.0
