-,MALE,FEMALE,UNKNOWN
UNKNOWN,22.48,22.04,0.0
OTHER,29.79,20.0,0.0
NATIVE-AM,36.36,23.08,0.0
HISP-LT,23.39,33.71,0.0
ASIA-PI,33.33,33.96,0.0
WHITE,58.9,58.87,16.67
BLACK,37.12,51.05,0.0
