-,MALE,FEMALE,UNKNOWN
UNKNOWN,49.04,48.81,0.0
OTHER,50.0,47.83,0.0
NATIVE-AM,0.0,0.0,0.0
HISP-LT,29.41,48.57,0.0
ASIA-PI,45.45,53.33,0.0
WHITE,59.63,60.0,100.0
BLACK,48.15,64.15,0.0
