-,MALE,FEMALE,UNKNOWN
UNKNOWN,28.36,46.43,0.0
OTHER,50.0,25.0,0.0
NATIVE-AM,0.0,0.0,0.0
HISP-LT,75.0,25.0,0.0
ASIA-PI,16.67,50.0,0.0
WHITE,59.69,59.51,0.0
BLACK,40.0,68.75,0.0
