-,MALE,FEMALE,UNKNOWN
UNKNOWN,44.84,50.3,0.0
OTHER,36.49,52.04,0.0
NATIVE-AM,80.0,0.0,0.0
HISP-LT,33.33,34.31,0.0
ASIA-PI,34.29,45.95,0.0
WHITE,55.45,55.35,66.67
BLACK,55.85,68.51,0.0
