-,MALE,FEMALE,UNKNOWN
UNKNOWN,48.72,41.25,0.0
OTHER,40.0,33.33,0.0
NATIVE-AM,100.0,0.0,0.0
HISP-LT,25.0,30.0,0.0
ASIA-PI,0.0,0.0,0.0
WHITE,65.23,66.27,0.0
BLACK,53.21,71.52,0.0
