-,MALE,FEMALE,UNKNOWN
UNKNOWN,61.54,64.71,0.0
OTHER,33.33,100.0,0.0
NATIVE-AM,100.0,100.0,0.0
HISP-LT,100.0,0.0,0.0
ASIA-PI,0.0,0.0,0.0
WHITE,78.95,79.65,0.0
BLACK,50.0,68.02,0.0
