AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,448.0,0.0,13.0,12.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,118.0,89.0,0.0,148.0,59.0
30-34,492.0,0.0,15.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,125.0,132.0,0.0,148.0,60.0
35-39,564.0,0.0,15.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,163.0,159.0,0.0,157.0,50.0
40-44,533.0,0.0,18.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,141.0,133.0,0.0,151.0,71.0
45-49,670.0,0.0,20.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,196.0,188.0,0.0,151.0,96.0
50-54,881.0,0.0,15.0,18.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,276.0,255.0,0.0,187.0,121.0
55-59,955.0,0.0,22.0,21.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,312.0,276.0,0.0,186.0,131.0
60-64,1010.0,0.0,27.0,18.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,326.0,287.0,0.0,205.0,138.0
65-OVER,2692.0,0.0,38.0,40.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,960.0,875.0,0.0,473.0,294.0
TOTAL,8245.0,0.0,183.0,153.0,0.0,21.0,12.0,0.0,3.0,1.0,0.0,16.0,7.0,0.0,6.0,5.0,1.0,2617.0,2394.0,0.0,1806.0,1020.0
