-,MALE,FEMALE,UNKNOWN
UNKNOWN,31.42,24.77,0.0
OTHER,28.12,37.84,0.0
NATIVE-AM,30.77,30.0,0.0
HISP-LT,29.53,29.82,0.0
ASIA-PI,25.58,41.18,0.0
WHITE,48.48,46.43,14.29
BLACK,44.19,57.34,0.0
