-,MALE,FEMALE,UNKNOWN
UNKNOWN,32.14,31.51,0.0
OTHER,25.0,46.15,0.0
NATIVE-AM,0.0,50.0,0.0
HISP-LT,30.0,25.0,0.0
ASIA-PI,0.0,75.0,0.0
WHITE,56.88,54.08,0.0
BLACK,36.5,52.92,0.0
