-,MALE,FEMALE,UNKNOWN
UNKNOWN,25.64,40.74,0.0
OTHER,50.0,0.0,0.0
NATIVE-AM,50.0,0.0,0.0
HISP-LT,66.67,50.0,0.0
ASIA-PI,66.67,66.67,0.0
WHITE,62.82,63.09,0.0
BLACK,51.67,55.53,0.0
