-,MALE,FEMALE,UNKNOWN
UNKNOWN,36.62,43.84,0.0
OTHER,71.43,25.0,0.0
NATIVE-AM,0.0,0.0,0.0
HISP-LT,40.0,0.0,0.0
ASIA-PI,25.0,22.22,0.0
WHITE,73.95,70.07,0.0
BLACK,48.12,61.46,0.0
