-,MALE,FEMALE,UNKNOWN
UNKNOWN,43.31,53.42,0.0
OTHER,31.58,64.86,0.0
NATIVE-AM,50.0,0.0,0.0
HISP-LT,37.78,49.09,0.0
ASIA-PI,46.67,39.02,0.0
WHITE,61.96,59.89,0.0
BLACK,63.99,73.54,66.67
