AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,482.0,0.0,13.0,19.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,102.0,132.0,0.0,130.0,79.0
30-34,407.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,113.0,97.0,0.0,110.0,69.0
35-39,412.0,1.0,6.0,18.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,122.0,84.0,0.0,120.0,56.0
40-44,434.0,0.0,15.0,10.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,107.0,107.0,0.0,103.0,83.0
45-49,497.0,0.0,10.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,149.0,139.0,0.0,108.0,71.0
50-54,593.0,0.0,9.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,153.0,170.0,0.0,138.0,95.0
55-59,663.0,0.0,10.0,25.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,189.0,175.0,0.0,142.0,116.0
60-64,655.0,0.0,17.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,194.0,172.0,0.0,144.0,110.0
65-OVER,1956.0,0.0,33.0,23.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,662.0,583.0,0.0,404.0,241.0
TOTAL,6099.0,1.0,117.0,158.0,0.0,9.0,7.0,0.0,3.0,4.0,0.0,9.0,6.0,0.0,9.0,7.0,0.0,1791.0,1659.0,0.0,1399.0,920.0
