-,MALE,FEMALE,UNKNOWN
UNKNOWN,37.5,52.38,0.0
OTHER,100.0,66.67,0.0
NATIVE-AM,0.0,0.0,0.0
HISP-LT,16.67,50.0,0.0
ASIA-PI,0.0,0.0,0.0
WHITE,61.62,57.74,100.0
BLACK,52.63,63.64,0.0
