-,MALE,FEMALE,UNKNOWN
UNKNOWN,40.74,36.17,0.0
OTHER,33.33,25.0,0.0
NATIVE-AM,0.0,50.0,0.0
HISP-LT,42.86,11.11,0.0
ASIA-PI,0.0,0.0,0.0
WHITE,63.56,64.39,50.0
BLACK,41.07,58.26,0.0
