-,MALE,FEMALE,UNKNOWN
UNKNOWN,15.71,23.64,0.0
OTHER,14.29,60.0,0.0
NATIVE-AM,100.0,100.0,0.0
HISP-LT,33.33,62.5,0.0
ASIA-PI,50.0,0.0,0.0
WHITE,62.03,60.44,0.0
BLACK,60.97,70.88,0.0
