-,MALE,FEMALE,UNKNOWN
UNKNOWN,44.7,47.37,0.0
OTHER,66.67,27.27,0.0
NATIVE-AM,100.0,100.0,0.0
HISP-LT,52.17,39.39,0.0
ASIA-PI,55.56,36.36,0.0
WHITE,58.02,56.49,66.67
BLACK,62.63,60.34,0.0
