-,MALE,FEMALE,UNKNOWN
UNKNOWN,35.9,40.37,0.0
OTHER,63.64,26.67,0.0
NATIVE-AM,0.0,0.0,0.0
HISP-LT,53.85,63.64,0.0
ASIA-PI,14.29,20.0,0.0
WHITE,60.91,63.44,0.0
BLACK,53.23,64.34,0.0
