-,MALE,FEMALE,UNKNOWN
UNKNOWN,34.78,70.0,0.0
OTHER,0.0,0.0,0.0
NATIVE-AM,0.0,0.0,0.0
HISP-LT,0.0,0.0,0.0
ASIA-PI,100.0,0.0,0.0
WHITE,79.03,72.33,0.0
BLACK,63.0,71.68,0.0
