AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,461.0,0.0,15.0,12.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,208.0,188.0,0.0,21.0,10.0
30-34,483.0,0.0,15.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,209.0,216.0,0.0,14.0,14.0
35-39,514.0,0.0,13.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,237.0,226.0,0.0,20.0,2.0
40-44,540.0,0.0,10.0,10.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,262.0,220.0,0.0,21.0,8.0
45-49,713.0,0.0,10.0,9.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,339.0,304.0,0.0,28.0,18.0
50-54,783.0,0.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,370.0,340.0,0.0,23.0,19.0
55-59,878.0,0.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,385.0,411.0,0.0,32.0,17.0
60-64,832.0,1.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,3.0,4.0,0.0,392.0,367.0,0.0,28.0,19.0
65-OVER,2469.0,0.0,18.0,26.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,3.0,0.0,1184.0,1113.0,0.0,73.0,40.0
TOTAL,7673.0,1.0,111.0,109.0,0.0,14.0,4.0,0.0,1.0,3.0,0.0,17.0,14.0,0.0,9.0,11.0,1.0,3586.0,3385.0,0.0,260.0,147.0
