-,MALE,FEMALE,UNKNOWN
UNKNOWN,20.0,33.33,0.0
OTHER,0.0,0.0,0.0
NATIVE-AM,0.0,0.0,0.0
HISP-LT,33.33,66.67,0.0
ASIA-PI,0.0,100.0,0.0
WHITE,63.16,62.46,0.0
BLACK,44.44,62.12,0.0
